IDRESEAU;LIBELLE;OBSTACLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
29641;;Chemin des Minières;001000;1;196+810;e5877be0-6667-11e3-a7ff-01f464e0362d;806827.0156999975;6793906.978100002;4.438897205217774;48.23674751528202;48.2367475153,4.43889720522;48.2367475153,4.43889720522;"{""type"": ""Point"", ""coordinates"": [4.438897205217774, 48.236747515256724]}"
45947;Accès Gare Lior;Alagnon;720000;1;339+344;e562d3c6-6667-11e3-a7ff-01f464e0362d;680621.2665000036;6443498.800099999;2.753676794404809;45.090485050509;45.0904850505,2.7536767944;45.0904850505,2.7536767944;"{""type"": ""Point"", ""coordinates"": [2.753676794404808, 45.090485050489654]}"
179386;;;915000;1;280+805;b4610720-7565-11e8-bcff-010464e0362d;958250.737499997;6388758.701499999;6.252123975439376;44.550033151378024;44.5500331514,6.25212397544;44.5500331514,6.25212397544;"{""type"": ""Point"", ""coordinates"": [6.252123975439376, 44.550033151357205]}"
55834;de Medan;Avenue Émile-Zola;340000;1;031+507;e5dfb492-6667-11e3-a7ff-01f464e0362d;626504.8795000017;6873314.138300002;1.99641221184118;48.955581931937395;48.9555819319,1.99641221184;48.9555819319,1.99641221184;"{""type"": ""Point"", ""coordinates"": [1.996412211841178, 48.95558193191582]}"
49909;de Blanzay 245;CD 7;570000;3;379+340;e55540fa-6667-11e3-a7ff-01f464e0362d;486954.1550000012;6573022.296;0.23542897387743;46.223488212601715;46.2234882126,0.235428973877;46.2234882126,0.235428973877;"{""type"": ""Point"", ""coordinates"": [0.235428973877428, 46.223488212585615]}"
54284;Pont n°2103;CR 15;226000;1;084+286;e91571d0-6667-11e3-a7ff-01f464e0362d;682251.9500999972;6947700.2918;2.754476706174463;49.62821622191931;49.6282162219,2.75447670617;49.6282162219,2.75447670617;"{""type"": ""Point"", ""coordinates"": [2.754476706174462, 49.62821622190105]}"
60598;;CD 953;180611;1;000+551;e612e13a-6667-11e3-a7ff-01f464e0362d;930414.9814999998;6900307.429499999;6.159593690713843;49.16103650282791;49.1610365028,6.15959369071;49.1610365028,6.15959369071;"{""type"": ""Point"", ""coordinates"": [6.159593690713844, 49.161036502807356]}"
54530;;CD 37;229000;1;102+630;e5b04cea-6667-11e3-a7ff-01f464e0362d;723497.6886000037;6917618.713300001;3.323357834377032;49.35767459383367;49.3576745938,3.32335783438;49.3576745938,3.32335783438;"{""type"": ""Point"", ""coordinates"": [3.323357834377031, 49.35767459381409]}"
51195;de St-Pierre;VC 7;640000;1;048+492;e9065626-6667-11e3-a7ff-01f464e0362d;447837.7479000017;6391437.833000001;-0.176892649158124;44.57636247014122;44.5763624701,-0.176892649158;44.5763624701,-0.176892649158;"{""type"": ""Point"", ""coordinates"": [-0.176892649158125, 44.576362470120465]}"
39936;;;725000;1;591+815;e9239058-6667-11e3-a7ff-01f464e0362d;694001.4252000004;6361893.3506000005;2.92474049978053;44.35604664775856;44.3560466478,2.92474049978;44.3560466477,2.92474049978;"{""type"": ""Point"", ""coordinates"": [2.924740499780529, 44.35604664773723]}"
50392;;;584000;1;044+116;e64fa8da-6667-11e3-a7ff-01f464e0362d;403793.55139999837;6461417.159400001;-0.773111509731453;45.188362277935184;45.1883622779,-0.773111509731;45.1883622779,-0.773111509731;"{""type"": ""Point"", ""coordinates"": [-0.773111509731455, 45.18836227791611]}"
50656;;Chemin de la Brugère;611000;1;465+472;e6a3d090-6667-11e3-a7ff-01f464e0362d;536606.9012999982;6480335.854800001;0.911200689710259;45.40298767245285;45.4029876725,0.91120068971;45.4029876724,0.91120068971;"{""type"": ""Point"", ""coordinates"": [0.911200689710257, 45.402987672434385]}"
32333;de Châlon;RN 89;713000;1;509+572;e6e2aef2-6667-11e3-a7ff-01f464e0362d;653895.6416999996;6503031.9553;2.408305833407749;45.62526471362729;45.6252647136,2.40830583341;45.6252647136,2.40830583341;"{""type"": ""Point"", ""coordinates"": [2.408305833407749, 45.62526471360946]}"
177533;;Sous Autoroute A 160;752000;1;072+244;8f5b0f0e-f72f-11e7-80ff-012864e0362d;721282.5099000037;6795471.957199998;3.286769954268484;48.2592387574716;48.2592387575,3.28676995427;48.2592387574,3.28676995427;"{""type"": ""Point"", ""coordinates"": [3.286769954268483, 48.25923875744643]}"
35385;Fourche d'Auvours;RN  23;420000;1;202+340;e734e916-6667-11e3-a7ff-01f464e0362d;498931.27419999987;6771199.0396;0.302924202040576;48.010269037124466;48.0102690371,0.302924202041;48.0102690371,0.302924202041;"{""type"": ""Point"", ""coordinates"": [0.302924202040574, 48.01026903709798]}"
54916;;CD 123;272000;1;085+192;e616d562-6667-11e3-a7ff-01f464e0362d;659142.5385999978;6939494.7886000015;2.43560447130181;49.553413316415266;49.5534133164,2.4356044713;49.5534133164,2.4356044713;"{""type"": ""Point"", ""coordinates"": [2.435604471301809, 49.55341331639663]}"
33819;Sans Pareil;RN 43;295000;1;094+615;e973f054-6667-11e3-a7ff-01f464e0362d;627402.5329999998;7088944.300000001;1.970272625998295;50.89241713063453;50.8924171306,1.970272626;50.8924171306,1.970272626;"{""type"": ""Point"", ""coordinates"": [1.970272625998293, 50.89241713062194]}"
