GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;PK;LIBELLE;RG_TRONCON;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
1442464A666811E38CFF01F464E0362D;29472;900000;Ligne de Culoz à Modane (frontière);198+989;St-Avre-la-Chambre;1;1442464a-6668-11e3-8cff-01f464e0362d;959046.8800000027;6477180.4683;6.308769721895908;45.34515753193583;45.3451575319,6.3087697219;45.3451575319,6.3087697219;"{""type"": ""Point"", ""coordinates"": [6.308769721895908, 45.3451575319172]}"
14400C9E666811E38CFF01F464E0362D;29201;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;060+490;Le Mirail;1;14400c9e-6668-11e3-8cff-01f464e0362d;459475.3527000025;6391353.946199998;-0.030381919371316;44.5797246958169;44.5797246958,-0.0303819193713;44.5797246958,-0.0303819193713;"{""type"": ""Point"", ""coordinates"": [-0.030381919371318, 44.57972469579616]}"
14428F8A666811E38CFF01F464E0362D;85305;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;240+910;St-Jory;1;14428f8a-6668-11e3-8cff-01f464e0362d;568899.4776000008;6294425.986200001;1.37285761988022;43.73670173406631;43.7367017341,1.37285761988;43.736701734,1.37285761988;"{""type"": ""Point"", ""coordinates"": [1.372857619880218, 43.736701734043386]}"
1440F454666811E38CFF01F464E0362D;29226;570000;Ligne de Paris-Austerlitz à Bordeaux-St-Jean;283+769;Les Colombiers;3;1440f454-6668-11e3-8cff-01f464e0362d;517743.6340999976;6656842.244100001;0.601677158184064;46.98688508703009;46.986885087,0.601677158184;46.986885087,0.601677158184;"{""type"": ""Point"", ""coordinates"": [0.601677158184063, 46.9868850870162]}"
1443E70C666811E38CFF01F464E0362D;29319;752100;Ligne de Villeneuve-St-Georges à la bifurcation de Moisenay (LGV);025+000;Coubert;1;1443e70c-6668-11e3-8cff-01f464e0362d;679512.0261000022;6843028.2654;2.721677255412461;48.6870821385497;48.6870821385,2.72167725541;48.6870821385,2.72167725541;"{""type"": ""Point"", ""coordinates"": [2.721677255412459, 48.687082138526755]}"
1443BCC6666811E38CFF01F464E0362D;29531;810000;Ligne de Tarascon à Sète-Ville;056+892;Lunel-Viel;1;1443bcc6-6668-11e3-8cff-01f464e0362d;787878.7009000033;6287427.255600002;4.089585000926178;43.68042425325589;43.6804242533,4.08958500093;43.6804242532,4.08958500093;"{""type"": ""Point"", ""coordinates"": [4.089585000926178, 43.68042425323281]}"
143FF55C666811E38CFF01F464E0362D;29436;722000;Ligne de Béziers à Neussargues;702+930;Talizat;1;143ff55c-6668-11e3-8cff-01f464e0362d;702165.1955000013;6445688.6472;3.027531607256372;45.11047115681111;45.1104711568,3.02753160726;45.1104711568,3.02753160726;"{""type"": ""Point"", ""coordinates"": [3.027531607256371, 45.110471156791824]}"
1442FB9A666811E38CFF01F464E0362D;29467;890000;Ligne de Lyon-Perrache à Genève (frontière);083+416;Rossillon;1;1442fb9a-6668-11e3-8cff-01f464e0362d;901735.8017999977;6528621.503199998;5.598960102656927;45.82735215952542;45.8273521595,5.59896010266;45.8273521595,5.59896010266;"{""type"": ""Point"", ""coordinates"": [5.598960102656929, 45.82735215950817]}"
1444961E666811E38CFF01F464E0362D;133355;082000;Ligne de Reims à Laon;037+410;Montaigu;1;1444961e-6668-11e3-8cff-01f464e0362d;759492.8017999977;6938645.2738999985;3.821682029048266;49.54430920907057;49.5443092091,3.82168202905;49.5443092091,3.82168202905;"{""type"": ""Point"", ""coordinates"": [3.821682029048266, 49.544309209051896]}"
1442FEE8666811E38CFF01F464E0362D;29327;830000;Ligne de Paris-Lyon à Marseille-St-Charles;045+475;Melun;1;1442fee8-6668-11e3-8cff-01f464e0362d;675323.8334999979;6824413.335099999;2.665852690342639;48.51949289183598;48.5194928918,2.66585269034;48.5194928918,2.66585269034;"{""type"": ""Point"", ""coordinates"": [2.665852690342638, 48.51949289181217]}"
1441E0B0666811E38CFF01F464E0362D;85310;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;296+995;Avignonet;1;1441e0b0-6668-11e3-8cff-01f464e0362d;602257.0459999964;6252160.917399999;1.794802157373893;43.361872251885664;43.3618722519,1.79480215737;43.3618722519,1.79480215737;"{""type"": ""Point"", ""coordinates"": [1.794802157373891, 43.36187225186182]}"
14414FBA666811E38CFF01F464E0362D;29107;334000;Ligne de Paris-St-Lazare à Mantes-Station par Conflans-Ste-Honorine;056+743;Les Martraits;1;14414fba-6668-11e3-8cff-01f464e0362d;605855.3527999967;6876819.616999999;1.713704263859166;48.984408561080535;48.9844085611,1.71370426386;48.9844085611,1.71370426386;"{""type"": ""Point"", ""coordinates"": [1.713704263859165, 48.984408561059105]}"
14434DD0666811E38CFF01F464E0362D;106166;005000;Ligne de Paris à Strasbourg (LGV);270+050;Le Rele;1;14434dd0-6668-11e3-8cff-01f464e0362d;921772.8016000018;6878089.002099998;6.029522207415974;48.96445795046385;48.9644579505,6.02952220742;48.9644579504,6.02952220742;"{""type"": ""Point"", ""coordinates"": [6.029522207415975, 48.964457950442345]}"
1443519E666811E38CFF01F464E0362D;29065;140000;Ligne de Réding à Metz-Ville;129+523;Remilly;1;1443519e-6668-11e3-8cff-01f464e0362d;950576.2194999978;6883485.580499999;6.425722113242542;49.0023604460045;49.002360446,6.42572211324;49.002360446,6.42572211324;"{""type"": ""Point"", ""coordinates"": [6.425722113242543, 49.002360445983165]}"
14415E44666811E38CFF01F464E0362D;29158;420000;Ligne de Paris-Montparnasse à Brest;267+700;Evron;1;14415e44-6668-11e3-8cff-01f464e0362d;448486.7094999999;6788056.906800002;-0.382662651659236;48.14438502614566;48.1443850261,-0.382662651659;48.1443850261,-0.382662651659;"{""type"": ""Point"", ""coordinates"": [-0.382662651659239, 48.14438502611987]}"
1442FEE8666811E38CFF01F464E0362D;29327;746000;Ligne de Corbeil-Essonnes à Montereau;058+290;Melun;1;1442fee8-6668-11e3-8cff-01f464e0362d;675249.5626000017;6824457.2729;2.66484445270684;48.51988531133533;48.5198853113,2.66484445271;48.5198853113,2.66484445271;"{""type"": ""Point"", ""coordinates"": [2.66484445270684, 48.51988531131153]}"
