IDRESEAU;LIBELLE;CODE_LIGNE;LONGUEUR;OBSTACLE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
32483;Le Roc-Blanc (pas dans ficoa);719000;41;Gabarit à 1 voie;1;633+842;e8f0dfbe-6667-11e3-a7ff-01f464e0362d;592436.6121999994;6425610.520300001;1.636817877744058;44.92133554042978;44.9213355404,1.63681787774;44.9213355404,1.63681787774;"{""type"": ""Point"", ""coordinates"": [1.636817877744057, 44.92133554040997]}"
46089;Montagnat;721000;598;Gabarit à 1 voie;1;484+750;e650d3a4-6667-11e3-a7ff-01f464e0362d;676235.0415999964;6470266.116500001;2.696616722812001;45.331364688260344;45.3313646883,2.69661672281;45.3313646882,2.69661672281;"{""type"": ""Point"", ""coordinates"": [2.696616722812, 45.33136468824166]}"
69526;Figuières;935000;53;;1;860+030;e58997fe-6667-11e3-a7ff-01f464e0362d;879584.0724999979;6250630.0057;5.213384394073087;43.332166719734296;43.3321667197,5.21338439407;43.3321667197,5.21338439407;"{""type"": ""Point"", ""coordinates"": [5.213384394073087, 43.33216671971039]}"
39543;Petit-Merguieux;718000;148;Gabarit à 1 voie;1;293+468;e9899118-6667-11e3-a7ff-01f464e0362d;618450.3698000014;6344380.282200001;1.979755154502891;44.19369110822457;44.1936911082,1.9797551545;44.1936911082,1.9797551545;"{""type"": ""Point"", ""coordinates"": [1.97975515450289, 44.19369110820281]}"
43017;Rossignol;797000;175;Gabarit à 1 voie;1;007+892;e68a897a-6667-11e3-a7ff-01f464e0362d;797623.5090999976;6472215.792100001;4.246556495414047;45.34239276319832;45.3423927632,4.24655649541;45.3423927632,4.24655649541;"{""type"": ""Point"", ""coordinates"": [4.246556495414046, 45.342392763179674]}"
41789;Ligne D VU (V1);981000;2053;Gabarit à 1 voie;2;002+739;e5e9f428-6667-11e3-a7ff-01f464e0362d;652238.5850000009;6862220.6204;2.349038678842259;48.85824988960885;48.8582498896,2.34903867884;48.8582498896,2.34903867884;"{""type"": ""Point"", ""coordinates"": [2.349038678842258, 48.858249889586794]}"
67031;Les Frasses;878000;1045;Gabarit à 1 voie;1;046+353;e934e174-6667-11e3-a7ff-01f464e0362d;932682.7383999974;6608930.8379999995;6.037061421073842;46.54011989166168;46.5401198917,6.03706142107;46.5401198916,6.03706142107;"{""type"": ""Point"", ""coordinates"": [6.037061421073842, 46.54011989164649]}"
39843;Cajarc;724000;347;Gabarit à 1 voie;1;703+969;e659098e-6667-11e3-a7ff-01f464e0362d;607127.8838;6376034.5145;1.832265897130874;44.47718684793521;44.4771868479,1.83226589713;44.4771868479,1.83226589713;"{""type"": ""Point"", ""coordinates"": [1.832265897130873, 44.477186847914204]}"
39432;Figeac;718000;1287;Gabarit à 2 voies;1;237+753;e8eda56e-6667-11e3-a7ff-01f464e0362d;623609.3387999982;6389772.122900002;2.037368279764785;44.6028472941098;44.6028472941,2.03736827976;44.6028472941,2.03736827976;"{""type"": ""Point"", ""coordinates"": [2.037368279764784, 44.602847294089116]}"
133880;Galerie 'PETITE LARZALIER';723000;138;;1;669+272;e9ac0868-6667-11e3-a7ff-01f464e0362d;754752.377700001;6385209.409000002;3.689472943544468;44.563811607351404;44.5638116074,3.68947294354;44.5638116073,3.68947294354;"{""type"": ""Point"", ""coordinates"": [3.689472943544468, 44.563811607330614]}"
