IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
54416;;229000;1;012+422;e8eb1624-6667-11e3-a7ff-01f464e0362d;660923.8879000023;6870395.013300002;2.466657985905594;48.932345005765185;48.9323450058,2.46665798591;48.9323450057,2.46665798591;"{""type"": ""Point"", ""coordinates"": [2.466657985905593, 48.9323450057435]}"
38443;;640000;1;243+912;e5ebb72a-6667-11e3-a7ff-01f464e0362d;569916.8649000004;6291570.898200002;1.386205415156705;43.71120382183546;43.7112038218,1.38620541516;43.7112038218,1.38620541516;"{""type"": ""Point"", ""coordinates"": [1.386205415156704, 43.711203821812454]}"
66280;;850000;1;343+357;e90e0688-6667-11e3-a7ff-01f464e0362d;877680.6464999989;6681136.02;5.347648230172385;47.20674328808756;47.2067432881,5.34764823017;47.2067432881,5.34764823017;"{""type"": ""Point"", ""coordinates"": [5.347648230172385, 47.20674328805662]}"
46979;Conduite Michelin-la-Combaude;790000;1;415+480;e86c51ce-6667-11e3-a7ff-01f464e0362d;709994.1160999984;6522815.9976;3.128678560595678;45.804899353697536;45.8048993537,3.1286785606;45.8048993537,3.1286785606;"{""type"": ""Point"", ""coordinates"": [3.128678560595677, 45.804899353680206]}"
87571;Passerelle Septèmes;905000;2;429+845;e6eeed52-6667-11e3-a7ff-01f464e0362d;892096.119099997;6259249.2190999985;5.370695059147232;43.40640691535933;43.4064069154,5.37069505915;43.4064069153,5.37069505915;"{""type"": ""Point"", ""coordinates"": [5.370695059147232, 43.4064069153356]}"
50032;Aqueduc de la Tude;570000;3;474+577;e60b7ffc-6667-11e3-a7ff-01f464e0362d;478925.0399999991;6488967.146299999;0.170397880251742;45.46449828458589;45.4644982846,0.170397880252;45.4644982846,0.170397880252;"{""type"": ""Point"", ""coordinates"": [0.17039788025174, 45.464498284567604]}"
171399;Passerelle Cooperl;420000;1;456+342;3a52b78a-2e3d-11e6-97ff-012c64e0362d;290824.0481000021;6832526.6521000005;-2.539421218150055;48.46378319203374;48.463783192,-2.53942121815;48.463783192,-2.53942121815;"{""type"": ""Point"", ""coordinates"": [-2.539421218150059, 48.463783192009636]}"
50923;Passerelle piétons à Mauzac;629000;1;632+847;e72a1212-6667-11e3-a7ff-01f464e0362d;525727.7603999972;6420269.702300001;0.793644066856076;44.85968684868791;44.8596868487,0.793644066856;44.8596868487,0.793644066856;"{""type"": ""Point"", ""coordinates"": [0.793644066856075, 44.85968684866792]}"
51170;Passerelle voyageurs;640000;1;018+092;e8eccf04-6667-11e3-a7ff-01f464e0362d;426756.3803000003;6406193.633099999;-0.450282211182386;44.701125237612615;44.7011252376,-0.450282211182;44.7011252376,-0.450282211182;"{""type"": ""Point"", ""coordinates"": [-0.450282211182388, 44.701125237592194]}"
56499;Passerelle piétons;340000;1;131+465;e6c95798-6667-11e3-a7ff-01f464e0362d;562511.9900000021;6923253.768100001;1.106484111397138;49.39394017039685;49.3939401704,1.1064841114;49.3939401704,1.1064841114;"{""type"": ""Point"", ""coordinates"": [1.106484111397136, 49.39394017037744]}"
